"Data";"BR"
"2020-02-26 00:00:00";1
"2020-02-27 00:00:00";0
"2020-02-28 00:00:00";0
"2020-02-29 00:00:00";1
"2020-03-01 00:00:00";0
"2020-03-02 00:00:00";0
"2020-03-03 00:00:00";0
"2020-03-04 00:00:00";1
"2020-03-05 00:00:00";4
"2020-03-06 00:00:00";6
"2020-03-07 00:00:00";6
"2020-03-08 00:00:00";6
"2020-03-09 00:00:00";0
"2020-03-10 00:00:00";9
"2020-03-11 00:00:00";18
"2020-03-12 00:00:00";25
"2020-03-13 00:00:00";21
"2020-03-14 00:00:00";23
"2020-03-15 00:00:00";79
"2020-03-16 00:00:00";34
"2020-03-17 00:00:00";57
"2020-03-18 00:00:00";137
"2020-03-19 00:00:00";193
"2020-03-20 00:00:00";283
"2020-03-21 00:00:00";224
"2020-03-22 00:00:00";418
"2020-03-23 00:00:00";345
"2020-03-24 00:00:00";310
"2020-03-25 00:00:00";232
"2020-03-26 00:00:00";482
"2020-03-27 00:00:00";502
"2020-03-28 00:00:00";486
"2020-03-29 00:00:00";353
"2020-03-30 00:00:00";323
"2020-03-31 00:00:00";1138
"2020-04-01 00:00:00";1117
"2020-04-02 00:00:00";1076
"2020-04-03 00:00:00";1146
"2020-04-04 00:00:00";1222
"2020-04-05 00:00:00";852
"2020-04-06 00:00:00";926
"2020-04-07 00:00:00";1661
"2020-04-08 00:00:00";2210
"2020-04-09 00:00:00";1930
"2020-04-10 00:00:00";1781
"2020-04-11 00:00:00";1089
"2020-04-12 00:00:00";1442
"2020-04-13 00:00:00";1261
"2020-04-14 00:00:00";1832
"2020-04-15 00:00:00";3058
"2020-04-16 00:00:00";2105
"2020-04-17 00:00:00";3257
"2020-04-18 00:00:00";2917
"2020-04-19 00:00:00";2055
"2020-04-20 00:00:00";1927
"2020-04-21 00:00:00";2498
"2020-04-22 00:00:00";2678
"2020-04-23 00:00:00";3735
"2020-04-24 00:00:00";3503
"2020-04-25 00:00:00";5514
"2020-04-26 00:00:00";3379
"2020-04-27 00:00:00";4613
"2020-04-28 00:00:00";5385
"2020-04-29 00:00:00";6276
"2020-04-30 00:00:00";7218
"2020-05-01 00:00:00";5919
"2020-05-02 00:00:00";5097
"2020-05-03 00:00:00";4751
"2020-05-04 00:00:00";6633
"2020-05-05 00:00:00";6935
"2020-05-06 00:00:00";10503
"2020-05-07 00:00:00";9888
"2020-05-08 00:00:00";10222
"2020-05-09 00:00:00";10611
"2020-05-10 00:00:00";6760
"2020-05-11 00:00:00";5632
"2020-05-12 00:00:00";9258
"2020-05-13 00:00:00";11385
"2020-05-14 00:00:00";13944
"2020-05-15 00:00:00";15305
"2020-05-16 00:00:00";14919
"2020-05-17 00:00:00";7938
"2020-05-18 00:00:00";13140
"2020-05-19 00:00:00";17408
"2020-05-20 00:00:00";19951
"2020-05-21 00:00:00";18508
"2020-05-22 00:00:00";20803
"2020-05-23 00:00:00";16508
"2020-05-24 00:00:00";15813
"2020-05-25 00:00:00";11687
"2020-05-26 00:00:00";16324
"2020-05-27 00:00:00";20599
"2020-05-28 00:00:00";26417
"2020-05-29 00:00:00";26928
"2020-05-30 00:00:00";33274
"2020-05-31 00:00:00";15760
"2020-06-01 00:00:00";12247
"2020-06-02 00:00:00";28936
"2020-06-03 00:00:00";28633
"2020-06-04 00:00:00";30925
"2020-06-05 00:00:00";30830
"2020-06-06 00:00:00";27075
"2020-06-07 00:00:00";18912
"2020-06-08 00:00:00";15654
"2020-06-09 00:00:00";32091
"2020-06-10 00:00:00";32913
"2020-06-11 00:00:00";30412
"2020-06-12 00:00:00";25982
"2020-06-13 00:00:00";21704
"2020-06-14 00:00:00";17110
"2020-06-15 00:00:00";20647
"2020-06-16 00:00:00";34918
"2020-06-17 00:00:00";32188
"2020-06-18 00:00:00";22765
"2020-06-19 00:00:00";54771
"2020-06-20 00:00:00";34666
"2020-06-21 00:00:00";17459
"2020-06-22 00:00:00";21432
"2020-06-23 00:00:00";39436
"2020-06-24 00:00:00";42725
"2020-06-25 00:00:00";39483
"2020-06-26 00:00:00";46860
"2020-06-27 00:00:00";38693
"2020-06-28 00:00:00";30476
"2020-06-29 00:00:00";24052
"2020-06-30 00:00:00";33846
"2020-07-01 00:00:00";46712
"2020-07-02 00:00:00";48105
"2020-07-03 00:00:00";42223
"2020-07-04 00:00:00";37923
"2020-07-05 00:00:00";26051
"2020-07-06 00:00:00";20229
"2020-07-07 00:00:00";45305
"2020-07-08 00:00:00";44571
"2020-07-09 00:00:00";42619
"2020-07-10 00:00:00";45048
"2020-07-11 00:00:00";39023
"2020-07-12 00:00:00";24831
"2020-07-13 00:00:00";20286
"2020-07-14 00:00:00";41857
"2020-07-15 00:00:00";39924
"2020-07-16 00:00:00";45403
"2020-07-17 00:00:00";34177
"2020-07-18 00:00:00";28532
"2020-07-19 00:00:00";23529
"2020-07-20 00:00:00";20257
"2020-07-21 00:00:00";41008
"2020-07-22 00:00:00";67860
"2020-07-23 00:00:00";59961
"2020-07-24 00:00:00";55891
"2020-07-25 00:00:00";51147
"2020-07-26 00:00:00";24578
"2020-07-27 00:00:00";23284
"2020-07-28 00:00:00";40816
"2020-07-29 00:00:00";69074
"2020-07-30 00:00:00";57837
"2020-07-31 00:00:00";52383
"2020-08-01 00:00:00";45392
"2020-08-02 00:00:00";25800
"2020-08-03 00:00:00";16641
"2020-08-04 00:00:00";51603
"2020-08-05 00:00:00";55676
"2020-08-06 00:00:00";54615
"2020-08-07 00:00:00";50230
"2020-08-08 00:00:00";49970
"2020-08-09 00:00:00";23010
"2020-08-10 00:00:00";22048
"2020-08-11 00:00:00";52160
"2020-08-12 00:00:00";55155
"2020-08-13 00:00:00";60091
"2020-08-14 00:00:00";50644
"2020-08-15 00:00:00";41576
"2020-08-16 00:00:00";23101
"2020-08-17 00:00:00";19373
"2020-08-18 00:00:00";47784
"2020-08-19 00:00:00";49298
"2020-08-20 00:00:00";45323
"2020-08-21 00:00:00";30355
"2020-08-22 00:00:00";50032
"2020-08-23 00:00:00";23421
"2020-08-24 00:00:00";17078
"2020-08-25 00:00:00";47134
"2020-08-26 00:00:00";47161
"2020-08-27 00:00:00";44235
"2020-08-28 00:00:00";43412
"2020-08-29 00:00:00";41350
"2020-08-30 00:00:00";16158
"2020-08-31 00:00:00";45961
"2020-09-01 00:00:00";42659
"2020-09-02 00:00:00";46934
"2020-09-03 00:00:00";43773
"2020-09-04 00:00:00";51194
"2020-09-05 00:00:00";30168
"2020-09-06 00:00:00";14521
"2020-09-07 00:00:00";10273
"2020-09-08 00:00:00";14279
"2020-09-09 00:00:00";35816
"2020-09-10 00:00:00";40557
"2020-09-11 00:00:00";43718
"2020-09-12 00:00:00";33523
"2020-09-13 00:00:00";14768
"2020-09-14 00:00:00";15155
"2020-09-15 00:00:00";36653
"2020-09-16 00:00:00";36820
"2020-09-17 00:00:00";36303
"2020-09-18 00:00:00";39797
"2020-09-19 00:00:00";33057
"2020-09-20 00:00:00";16389
"2020-09-21 00:00:00";13439
"2020-09-22 00:00:00";33536
"2020-09-23 00:00:00";33281
"2020-09-24 00:00:00";32817
"2020-09-25 00:00:00";31911
"2020-09-26 00:00:00";28378
"2020-09-27 00:00:00";14318
"2020-09-28 00:00:00";13155
"2020-09-29 00:00:00";32058
"2020-09-30 00:00:00";33413
"2020-10-01 00:00:00";36157
"2020-10-02 00:00:00";33431
"2020-10-03 00:00:00";26310
"2020-10-04 00:00:00";8456
"2020-10-05 00:00:00";11946
"2020-10-06 00:00:00";41906
"2020-10-07 00:00:00";31553
"2020-10-08 00:00:00";27750
"2020-10-09 00:00:00";27444
"2020-10-10 00:00:00";26749
"2020-10-11 00:00:00";12342
"2020-10-12 00:00:00";8429
"2020-10-13 00:00:00";10220
"2020-10-14 00:00:00";27235
"2020-10-15 00:00:00";28523
"2020-10-16 00:00:00";30914
"2020-10-17 00:00:00";24062
"2020-10-18 00:00:00";10982
"2020-10-19 00:00:00";15383
"2020-10-20 00:00:00";23227
"2020-10-21 00:00:00";24818
"2020-10-22 00:00:00";24858
"2020-10-23 00:00:00";30026
"2020-10-24 00:00:00";26979
"2020-10-25 00:00:00";13493
"2020-10-26 00:00:00";15726
"2020-10-27 00:00:00";29787
"2020-10-28 00:00:00";28629
"2020-10-29 00:00:00";26106
"2020-10-30 00:00:00";22282
"2020-10-31 00:00:00";18947
"2020-11-01 00:00:00";10100
"2020-11-02 00:00:00";8501
"2020-11-03 00:00:00";11843
"2020-11-04 00:00:00";23976
"2020-11-05 00:00:00";22294
"2020-11-06 00:00:00";21428
"2020-11-07 00:00:00";19814
"2020-11-08 00:00:00";10554
"2020-11-09 00:00:00";10917
"2020-11-10 00:00:00";25012
"2020-11-11 00:00:00";48331
"2020-11-12 00:00:00";33207
"2020-11-13 00:00:00";29070
"2020-11-14 00:00:00";38307
"2020-11-15 00:00:00";14134
"2020-11-16 00:00:00";13371
"2020-11-17 00:00:00";35294
"2020-11-18 00:00:00";34091
"2020-11-19 00:00:00";35918
"2020-11-20 00:00:00";38397
"2020-11-21 00:00:00";32622
"2020-11-22 00:00:00";18615
"2020-11-23 00:00:00";16207
"2020-11-24 00:00:00";31100
"2020-11-25 00:00:00";47898
"2020-11-26 00:00:00";37614
"2020-11-27 00:00:00";34130
"2020-11-28 00:00:00";51922
"2020-11-29 00:00:00";24468
"2020-11-30 00:00:00";21138
"2020-12-01 00:00:00";50909
"2020-12-02 00:00:00";49863
"2020-12-03 00:00:00";50434
"2020-12-04 00:00:00";46884
"2020-12-05 00:00:00";43209
"2020-12-06 00:00:00";26363
"2020-12-07 00:00:00";20371
"2020-12-08 00:00:00";51088
"2020-12-09 00:00:00";53453
"2020-12-10 00:00:00";53347
"2020-12-11 00:00:00";54428
"2020-12-12 00:00:00";43900
"2020-12-13 00:00:00";21825
"2020-12-14 00:00:00";25193
"2020-12-15 00:00:00";42889
"2020-12-16 00:00:00";70574
"2020-12-17 00:00:00";69826
"2020-12-18 00:00:00";52544
"2020-12-19 00:00:00";50177
"2020-12-20 00:00:00";25445
"2020-12-21 00:00:00";25019
"2020-12-22 00:00:00";55202
"2020-12-23 00:00:00";46696
"2020-12-24 00:00:00";0
"2020-12-25 00:00:00";22967
"2020-12-26 00:00:00";17246
"2020-12-27 00:00:00";18479
"2020-12-28 00:00:00";20548
"2020-12-29 00:00:00";58718
"2020-12-30 00:00:00";55649
"2020-12-31 00:00:00";56773
"2021-01-01 00:00:00";24605
"2021-01-02 00:00:00";15827